type;n;algorithm;time_microseconds;char_comparisons
prefix;2500;STRING_MERGE_SORT;10037;551597
prefix;2500;MSD_RADIX_SORT;7143;0
prefix;2500;MSD_RADIX_QUICK_SORT;5241;9881
random;2600;QUICKSORT;8585;412839
random;2600;MERGESORT;4478;37463
random;2600;STRING_QUICK_SORT;879;29537
random;2600;STRING_MERGE_SORT;5045;63696
random;2600;MSD_RADIX_SORT;2649;0
random;2600;MSD_RADIX_QUICK_SORT;634;11771
reverse;2600;QUICKSORT;7260;369673
reverse;2600;MERGESORT;3903;23915
reverse;2600;STRING_QUICK_SORT;3039;122741
reverse;2600;STRING_MERGE_SORT;4183;39359
reverse;2600;MSD_RADIX_SORT;2891;0
reverse;2600;MSD_RADIX_QUICK_SORT;1103;37377
almost;2600;QUICKSORT;7472;365905
almost;2600;MERGESORT;4201;32852
almost;2600;STRING_QUICK_SORT;1563;61918
almost;2600;STRING_MERGE_SORT;4638;55907
almost;2600;MSD_RADIX_SORT;2718;0
almost;2600;MSD_RADIX_QUICK_SORT;654;13984
prefix;2600;QUICKSORT;21670;1097647
prefix;2600;MERGESORT;14105;553021
prefix;2600;STRING_QUICK_SORT;1324;77813
prefix;2600;STRING_MERGE_SORT;10146;577535
prefix;2600;MSD_RADIX_SORT;7535;0
prefix;2600;MSD_RADIX_QUICK_SORT;5453;10733
random;2700;QUICKSORT;8995;432853
random;2700;MERGESORT;4677;39192
random;2700;STRING_QUICK_SORT;864;28812
random;2700;STRING_MERGE_SORT;5222;66649
random;2700;MSD_RADIX_SORT;2834;0
random;2700;MSD_RADIX_QUICK_SORT;665;12264
reverse;2700;QUICKSORT;7865;398729
reverse;2700;MERGESORT;4105;25213
reverse;2700;STRING_QUICK_SORT;3044;126106
reverse;2700;STRING_MERGE_SORT;4375;41377
reverse;2700;MSD_RADIX_SORT;2947;0
reverse;2700;MSD_RADIX_QUICK_SORT;1155;39141
almost;2700;QUICKSORT;6816;342006
almost;2700;MERGESORT;4367;34115
almost;2700;STRING_QUICK_SORT;1858;74359
almost;2700;STRING_MERGE_SORT;4808;57992
almost;2700;MSD_RADIX_SORT;3015;0
almost;2700;MSD_RADIX_QUICK_SORT;684;14702
prefix;2700;QUICKSORT;22222;1129510
prefix;2700;MERGESORT;14785;577257
prefix;2700;STRING_QUICK_SORT;1389;81515
prefix;2700;STRING_MERGE_SORT;10577;602713
prefix;2700;MSD_RADIX_SORT;7747;0
prefix;2700;MSD_RADIX_QUICK_SORT;5710;11351
random;2800;QUICKSORT;9199;441582
random;2800;MERGESORT;4898;41050
random;2800;STRING_QUICK_SORT;921;30063
random;2800;STRING_MERGE_SORT;5480;69620
random;2800;MSD_RADIX_SORT;3217;0
random;2800;MSD_RADIX_QUICK_SORT;691;12993
reverse;2800;QUICKSORT;8232;413284
reverse;2800;MERGESORT;4281;26227
reverse;2800;STRING_QUICK_SORT;3284;131254
reverse;2800;STRING_MERGE_SORT;4524;43043
reverse;2800;MSD_RADIX_SORT;3286;0
reverse;2800;MSD_RADIX_QUICK_SORT;1227;41923
almost;2800;QUICKSORT;7907;394861
almost;2800;MERGESORT;4573;36505
almost;2800;STRING_QUICK_SORT;2397;96518
almost;2800;STRING_MERGE_SORT;5036;61859
almost;2800;MSD_RADIX_SORT;3166;0
almost;2800;MSD_RADIX_QUICK_SORT;737;16022
prefix;2800;QUICKSORT;25411;1237950
prefix;2800;MERGESORT;16067;601731
prefix;2800;STRING_QUICK_SORT;1442;87163
prefix;2800;STRING_MERGE_SORT;11073;628153
prefix;2800;MSD_RADIX_SORT;8284;0
prefix;2800;MSD_RADIX_QUICK_SORT;5884;11486
random;2900;QUICKSORT;9634;461460
random;2900;MERGESORT;5066;42730
random;2900;STRING_QUICK_SORT;969;32227
random;2900;STRING_MERGE_SORT;5674;72413
random;2900;MSD_RADIX_SORT;3238;0
random;2900;MSD_RADIX_QUICK_SORT;715;12992
reverse;2900;QUICKSORT;8719;433364
reverse;2900;MERGESORT;4434;27337
reverse;2900;STRING_QUICK_SORT;3355;137421
reverse;2900;STRING_MERGE_SORT;4734;44821
reverse;2900;MSD_RADIX_SORT;3376;0
reverse;2900;MSD_RADIX_QUICK_SORT;1301;44709
almost;2900;QUICKSORT;8476;424291
almost;2900;MERGESORT;4695;37438
almost;2900;STRING_QUICK_SORT;1758;70160
almost;2900;STRING_MERGE_SORT;5202;63496
almost;2900;MSD_RADIX_SORT;3257;0
almost;2900;MSD_RADIX_QUICK_SORT;739;15891
prefix;2900;QUICKSORT;25571;1253312
prefix;2900;MERGESORT;16783;626179
prefix;2900;STRING_QUICK_SORT;1660;88254
prefix;2900;STRING_MERGE_SORT;12361;653756
prefix;2900;MSD_RADIX_SORT;9341;0
prefix;2900;MSD_RADIX_QUICK_SORT;6295;12369
random;3000;QUICKSORT;10171;489117
random;3000;MERGESORT;5263;44584
random;3000;STRING_QUICK_SORT;1013;33522
random;3000;STRING_MERGE_SORT;5862;75455
random;3000;MSD_RADIX_SORT;3465;0
random;3000;MSD_RADIX_QUICK_SORT;745;13972
reverse;3000;QUICKSORT;10116;455645
reverse;3000;MERGESORT;5023;28216
reverse;3000;STRING_QUICK_SORT;6819;147042
reverse;3000;STRING_MERGE_SORT;5545;46292
reverse;3000;MSD_RADIX_SORT;6514;0
reverse;3000;MSD_RADIX_QUICK_SORT;1711;48344
almost;3000;QUICKSORT;9382;451708
almost;3000;MERGESORT;5159;39179
almost;3000;STRING_QUICK_SORT;1599;62183
almost;3000;STRING_MERGE_SORT;5590;66273
almost;3000;MSD_RADIX_SORT;3463;0
almost;3000;MSD_RADIX_QUICK_SORT;788;16587
prefix;3000;QUICKSORT;28587;1291423
prefix;3000;MERGESORT;18432;648307
prefix;3000;STRING_QUICK_SORT;1677;94459
prefix;3000;STRING_MERGE_SORT;13082;676830
prefix;3000;MSD_RADIX_SORT;9544;0
prefix;3000;MSD_RADIX_QUICK_SORT;7085;12714
