type;n;algorithm;time_microseconds;char_comparisons
reverse;600;QUICKSORT;1557;75833
reverse;600;MERGESORT;757;4048
reverse;600;STRING_QUICK_SORT;623;23867
reverse;600;STRING_MERGE_SORT;794;6964
reverse;600;MSD_RADIX_SORT;549;0
reverse;600;MSD_RADIX_QUICK_SORT;125;2327
almost;600;QUICKSORT;1634;79714
almost;600;MERGESORT;803;5251
almost;600;STRING_QUICK_SORT;264;10256
almost;600;STRING_MERGE_SORT;880;9382
almost;600;MSD_RADIX_SORT;520;0
almost;600;MSD_RADIX_QUICK_SORT;111;1449
prefix;600;QUICKSORT;4525;221951
prefix;600;MERGESORT;2797;100571
prefix;600;STRING_QUICK_SORT;277;17035
prefix;600;STRING_MERGE_SORT;1983;105096
prefix;600;MSD_RADIX_SORT;1760;0
prefix;600;MSD_RADIX_QUICK_SORT;1339;1239
random;700;QUICKSORT;2411;109575
random;700;MERGESORT;1083;7516
random;700;STRING_QUICK_SORT;200;6425
random;700;STRING_MERGE_SORT;1176;13296
random;700;MSD_RADIX_SORT;678;0
random;700;MSD_RADIX_QUICK_SORT;141;1732
reverse;700;QUICKSORT;2191;102337
reverse;700;MERGESORT;949;4941
reverse;700;STRING_QUICK_SORT;706;27142
reverse;700;STRING_MERGE_SORT;1019;8445
reverse;700;MSD_RADIX_SORT;688;0
reverse;700;MSD_RADIX_QUICK_SORT;175;3184
almost;700;QUICKSORT;1987;99866
almost;700;MERGESORT;944;6215
almost;700;STRING_QUICK_SORT;418;16632
almost;700;STRING_MERGE_SORT;1044;11057
almost;700;MSD_RADIX_SORT;600;0
almost;700;MSD_RADIX_QUICK_SORT;135;1889
prefix;700;QUICKSORT;5303;269687
prefix;700;MERGESORT;3133;120179
prefix;700;STRING_QUICK_SORT;310;19627
prefix;700;STRING_MERGE_SORT;2303;125537
prefix;700;MSD_RADIX_SORT;2007;0
prefix;700;MSD_RADIX_QUICK_SORT;1439;1529
random;800;QUICKSORT;2507;121100
random;800;MERGESORT;1184;8843
random;800;STRING_QUICK_SORT;218;7101
random;800;STRING_MERGE_SORT;1317;15565
random;800;MSD_RADIX_SORT;710;0
